Date,Price,Open,High,Low,Vol.,Change %,RSI
28-Jun-11,17,16.8,17.5,16.5,24.40K,1.19%,50.86080167116766
29-Jun-11,17,17,17.2,16.7,21.04K,-0.59%,47.32188578703461
30-Jun-11,16,16.9,17,15.7,34.96K,-4.45%,44.02311251617621
1-Jul-11,15,16.1,16.7,15.3,33.28K,-4.35%,44.02311251617621
2-Jul-11,15,15.4,15.8,15.3,19.45K,0.00%,44.02311251617621
3-Jul-11,15,15.4,15.7,15.3,16.79K,0.00%,40.497215397172035
4-Jul-11,14,15.4,15.5,13.1,52.28K,-10.23%,37.281572614188676
5-Jul-11,13,13.9,15,11,84.08K,-6.85%,46.44138634426347
6-Jul-11,15,12.9,16.5,12.7,111.82K,14.48%,46.44138634426347
7-Jul-11,15,14.8,15.9,14.5,54.47K,0.00%,42.815363864581286
8-Jul-11,14,14.8,15.6,13.9,34.85K,-3.18%,42.815363864581286
9-Jul-11,14,14.3,14.7,14,11.91K,0.49%,47.563552302113656
10-Jul-11,15,14.4,15.7,14.4,45.28K,3.62%,43.65952972225922
11-Jul-11,14,14.9,15.2,13.8,49.16K,-4.63%,43.65952972225922
12-Jul-11,14,14.2,14.6,13.9,26.36K,-1.41%,43.65952972225922
13-Jul-11,14,14,14.1,13.9,10.34K,-0.43%,43.65952972225922
14-Jul-11,14,13.9,14.1,13.7,17.66K,0.00%,43.65952972225922
15-Jul-11,14,14,14.1,13.5,24.82K,-1.29%,43.65952972225922
16-Jul-11,14,13.8,13.8,13.5,17.26K,-0.65%,38.703879583154304
17-Jul-11,13,13.7,13.8,13,34.38K,-4.08%,45.38046304418632
18-Jul-11,14,13.2,13.9,12.5,75.90K,2.43%,45.38046304418633
19-Jul-11,14,13.5,14.7,13.4,67.58K,2.74%,45.38046304418632
20-Jul-11,14,13.9,14,13.4,23.18K,-1.16%,45.38046304418633
21-Jul-11,14,13.7,13.8,13.4,25.02K,-0.58%,45.38046304418632
22-Jul-11,14,13.6,13.8,13.4,15.17K,0.66%,45.38046304418632
23-Jul-11,14,13.7,13.8,13.5,22.46K,0.00%,45.38046304418633
24-Jul-11,14,13.7,14.1,13.6,26.62K,2.19%,45.38046304418632
25-Jul-11,14,14,14.7,13.8,31.58K,0.50%,45.38046304418632
26-Jul-11,14,14.1,14.1,13.8,16.79K,-1.21%,45.38046304418633
27-Jul-11,14,13.9,14.1,13.9,11.51K,0.43%,45.380463044186335
28-Jul-11,14,13.9,13.9,13.3,32.74K,-3.23%,45.380463044186335
29-Jul-11,14,13.5,13.7,13.3,7.26K,0.00%,45.380463044186335
30-Jul-11,14,13.5,13.6,13.4,6.10K,0.00%,35.3033145084636
31-Jul-11,13,13.5,14.9,12.8,45.72K,-1.33%,35.3033145084636
1-Aug-11,13,13.4,13.6,12.9,21.75K,-1.95%,28.07340058748673
2-Aug-11,12,13.1,13.1,11.5,57.24K,-7.94%,16.894967312009058
3-Aug-11,9,12.1,12.2,8.7,90.29K,-23.15%,35.37093563752238
4-Aug-11,11,9.3,11.1,9.3,50.09K,16.09%,31.589339719806503
5-Aug-11,10,10.8,11,9.5,30.77K,-8.84%,23.479346160274673
6-Aug-11,7,9.8,9.9,5.7,102.41K,-33.16%,29.93641947245021
7-Aug-11,8,6.6,9.5,6,89.83K,20.61%,29.93641947245021
8-Aug-11,8,7.9,8.2,7.1,34.04K,-1.27%,41.405161169265135
9-Aug-11,10,7.8,12.1,7.7,114.47K,28.08%,41.405161169265135
10-Aug-11,10,10,10.4,9.5,24.25K,0.00%,41.405161169265135
11-Aug-11,10,10,10.5,8.4,58.12K,-5.21%,41.405161169265135
12-Aug-11,10,9.5,9.8,8.9,41.59K,0.00%,41.405161169265135
13-Aug-11,10,9.5,10.3,9.3,29.76K,7.08%,47.61555589838978
14-Aug-11,11,10.1,11.2,9.6,44.13K,6.61%,47.61555589838978
15-Aug-11,11,10.8,11.9,10.7,38.16K,3.24%,47.61555589838978
16-Aug-11,11,11.1,11.3,10.8,15.33K,-1.70%,47.61555589838978
17-Aug-11,11,11,11.1,10.7,22.90K,0.00%,47.61555589838978
18-Aug-11,11,10.9,11.1,10.8,8.21K,-1.10%,54.58756640905878
19-Aug-11,12,10.8,11.8,10.8,33.72K,7.57%,47.7443212262289
20-Aug-11,11,11.6,11.7,11.4,9.92K,-1.72%,47.7443212262289
21-Aug-11,11,11.4,11.5,11.3,8.72K,-1.22%,47.744321226228905
22-Aug-11,11,11.3,11.5,10.5,37.00K,-3.63%,47.74432122622891
23-Aug-11,11,10.9,11.3,10.8,12.78K,0.00%,47.74432122622891
24-Aug-11,11,10.9,11.1,10.8,7.82K,-0.82%,40.406844735156305
25-Aug-11,10,10.9,10.9,9.1,55.49K,-10.97%,30.358057383524553
26-Aug-11,8,9.7,9.9,7.6,83.00K,-15.32%,38.58248437672207
27-Aug-11,9,8.2,9.1,8.1,22.00K,5.01%,38.58248437672207
28-Aug-11,9,8.6,9.5,8.4,24.16K,5.59%,38.58248437672207
29-Aug-11,9,9.1,9.3,8.6,21.65K,-1.10%,38.58248437672207
30-Aug-11,9,9,9,8.6,11.77K,-2.01%,33.29391324679153
31-Aug-11,8,8.8,8.8,8,19.65K,-6.71%,33.29391324679153
1-Sep-11,8,8.2,8.4,8.1,11.90K,0.00%,42.44368950720588
2-Sep-11,9,8.2,8.7,8.2,16.82K,5.24%,42.44368950720588
3-Sep-11,9,8.6,8.7,8.4,6.95K,-1.85%,36.61844365507421
4-Sep-11,8,8.5,8.5,7.8,19.67K,-3.54%,36.61844365507421
5-Sep-11,8,8.2,8.2,7.3,30.80K,-6.97%,31.590134493213
6-Sep-11,7,7.6,7.7,6.1,82.50K,-9.86%,31.590134493213
7-Sep-11,7,6.9,7.6,6.5,49.64K,4.81%,31.590134493213
8-Sep-11,7,7.2,7.2,6.5,31.89K,-9.18%,23.521899680248012
9-Sep-11,5,6.5,6.6,4.2,217.43K,-22.97%,23.521899680248012
10-Sep-11,5,5,5.5,4.6,44.49K,-5.17%,33.38747312031539
11-Sep-11,6,4.8,7.4,4.6,143.79K,22.85%,33.38747312031539
12-Sep-11,6,5.9,6.6,5.4,63.86K,3.75%,33.38747312031539
13-Sep-11,6,6.1,6.1,5.7,23.76K,-4.61%,33.38747312031539
14-Sep-11,6,5.8,5.8,5.3,43.77K,-3.10%,28.450954139518572
15-Sep-11,5,5.6,5.6,4.4,86.22K,-13.88%,28.450954139518572
16-Sep-11,5,4.8,5,4.6,31.65K,0.00%,28.450954139518572
17-Sep-11,5,4.8,4.9,4.7,20.30K,-1.04%,28.450954139518586
18-Sep-11,5,4.8,5.6,4.7,44.62K,9.01%,40.31974924432581
19-Sep-11,6,5.2,5.6,4.9,49.84K,5.00%,40.31974924432581
20-Sep-11,6,5.5,6.8,5.4,116.75K,11.90%,40.31974924432581
21-Sep-11,6,6.1,6.3,5.1,68.16K,-8.18%,33.399829127633794
22-Sep-11,5,5.6,5.8,5.3,31.65K,-3.21%,43.78916887584898
23-Sep-11,6,5.4,5.7,5.4,55.67K,2.21%,43.78916887584898
24-Sep-11,6,5.6,5.6,5.3,17.94K,-1.44%,37.08061514954423
25-Sep-11,5,5.5,5.5,5.3,9.49K,-2.56%,37.08061514954423
26-Sep-11,5,5.3,5.4,4.7,56.07K,-8.63%,37.08061514954423
27-Sep-11,5,4.9,5.1,4.8,24.65K,1.03%,37.08061514954423
28-Sep-11,5,4.9,5,4.6,30.63K,-3.05%,37.08061514954423
29-Sep-11,5,4.8,4.8,4.7,14.09K,0.00%,37.08061514954423
30-Sep-11,5,4.8,5.3,4.7,41.46K,7.53%,37.08061514954423
1-Oct-11,5,5.1,5.3,4.9,23.46K,-2.14%,37.08061514954423
2-Oct-11,5,5,5.1,4.9,10.46K,0.00%,37.08061514954423
3-Oct-11,5,5,5,4.9,17.29K,0.00%,37.08061514954423
4-Oct-11,5,5,5,4.9,15.79K,-1.20%,37.08061514954423
5-Oct-11,5,5,5,4.8,17.59K,-1.81%,37.08061514954424
6-Oct-11,5,4.9,4.9,4.5,54.77K,-2.87%,27.01089544019517
7-Oct-11,4,4.7,4.8,3.8,97.55K,-9.73%,27.01089544019517
8-Oct-11,4,4.3,4.3,3.8,39.61K,-6.09%,27.01089544019517
9-Oct-11,4,4,4.4,4,37.92K,2.24%,27.01089544019517
10-Oct-11,4,4.1,4.2,4,16.86K,0.00%,27.01089544019517
11-Oct-11,4,4.1,4.1,3.8,41.10K,-4.15%,27.01089544019517
12-Oct-11,4,3.9,4.4,3.9,69.40K,5.60%,27.01089544019517
13-Oct-11,4,4.2,4.2,4,19.71K,-2.41%,27.010895440195156
14-Oct-11,4,4.1,4.1,4,20.06K,-1.48%,27.01089544019517
15-Oct-11,4,4,4.1,3.7,42.09K,-3.76%,27.01089544019517
16-Oct-11,4,3.8,3.9,3.4,36.20K,-7.29%,17.20665811764168
17-Oct-11,3,3.6,3.7,2.3,207.43K,-28.09%,12.370930070898822
18-Oct-11,2,2.6,2.9,2.3,87.86K,-5.47%,12.370930070898822
19-Oct-11,2,2.4,2.5,2,101.87K,-6.20%,12.370930070898822
20-Oct-11,2,2.3,2.4,2.2,48.86K,3.52%,35.138100254587116
21-Oct-11,3,2.3,2.7,2.3,72.97K,9.36%,35.138100254587116
22-Oct-11,3,2.6,3.3,2.5,120.16K,22.96%,35.138100254587116
23-Oct-11,3,3.2,3.2,3,37.04K,0.00%,35.138100254587116
24-Oct-11,3,3.2,3.2,2.5,92.23K,-19.56%,35.138100254587116
25-Oct-11,3,2.5,3,2.4,101.41K,8.63%,35.138100254587116
26-Oct-11,3,2.8,2.8,2.7,29.40K,0.00%,35.138100254587116
27-Oct-11,3,2.8,3.1,2.7,58.70K,9.75%,35.138100254587116
28-Oct-11,3,3,3.3,2.9,52.37K,4.93%,55.87757302088976
29-Oct-11,4,3.2,3.8,3.1,79.54K,12.23%,41.56493136253454
30-Oct-11,3,3.6,3.7,3.2,50.69K,-8.66%,41.56493136253454
31-Oct-11,3,3.3,3.3,3.1,30.98K,0.00%,41.56493136253454
1-Nov-11,3,3.3,3.3,3.1,37.89K,-3.08%,41.56493136253454
2-Nov-11,3,3.2,3.4,3.1,32.31K,3.17%,41.56493136253454
3-Nov-11,3,3.3,3.3,3.1,24.52K,-3.08%,41.56493136253454
4-Nov-11,3,3.2,3.2,3,39.51K,0.00%,41.56493136253454
5-Nov-11,3,3.1,3.2,2.8,52.96K,-4.50%,41.56493136253454
6-Nov-11,3,3,3,2.9,17.23K,0.00%,41.56493136253454
7-Nov-11,3,3,3,3,23.99K,0.00%,41.56493136253454
8-Nov-11,3,3,3.2,3,60.34K,0.00%,41.56493136253454
9-Nov-11,3,3,3.1,2.9,52.20K,-2.96%,41.56493136253454
10-Nov-11,3,3,3,2.8,33.93K,-3.73%,41.56493136253454
11-Nov-11,3,2.8,3.1,2.8,44.85K,8.45%,41.56493136253454
12-Nov-11,3,3.1,3.1,3,20.38K,0.00%,41.56493136253454
13-Nov-11,3,3,3,3,9.63K,0.00%,23.3709232715792
14-Nov-11,2,3,3,2.1,382.19K,-26.00%,23.3709232715792
15-Nov-11,2,2.2,2.5,2.1,76.42K,4.95%,49.17341365382053
16-Nov-11,3,2.3,2.6,2.3,44.21K,9.87%,36.08737922271032
17-Nov-11,2,2.6,2.6,2,117.28K,-12.11%,36.08737922271033
18-Nov-11,2,2.3,2.4,2,98.14K,-8.89%,36.08737922271032
19-Nov-11,2,2,2.3,2,78.30K,7.32%,36.08737922271033
20-Nov-11,2,2.2,2.5,2.2,79.73K,0.00%,36.08737922271033
21-Nov-11,2,2.2,2.3,2.2,41.73K,4.09%,36.08737922271033
22-Nov-11,2,2.3,2.3,2.3,34.21K,0.00%,36.08737922271033
23-Nov-11,2,2.3,2.4,2.3,40.00K,0.00%,36.08737922271033
24-Nov-11,2,2.3,2.6,2.3,87.27K,4.29%,56.858192574970275
25-Nov-11,3,2.4,2.5,2.4,44.41K,3.29%,56.858192574970275
26-Nov-11,3,2.5,2.5,2.4,36.12K,0.00%,56.858192574970275
27-Nov-11,3,2.5,2.5,2.4,22.73K,0.00%,56.858192574970275
28-Nov-11,3,2.5,2.5,2.4,41.26K,2.82%,56.858192574970275
29-Nov-11,3,2.5,3,2.5,180.53K,7.84%,56.858192574970275
30-Nov-11,3,2.8,3.1,2.7,120.15K,8.00%,56.858192574970275
1-Dec-11,3,3,3.1,2.9,63.86K,3.03%,56.858192574970275
2-Dec-11,3,3.1,3.1,3,57.50K,1.96%,56.858192574970275
3-Dec-11,3,3.1,3.1,2.8,123.02K,-10.58%,56.858192574970275
4-Dec-11,3,2.8,2.9,2.6,95.22K,0.00%,56.858192574970275
5-Dec-11,3,2.8,2.9,2.8,30.89K,1.77%,56.858192574970275
6-Dec-11,3,2.9,3,2.9,55.60K,5.21%,56.858192574970275
7-Dec-11,3,3,3.1,2.9,58.12K,0.00%,56.858192574970275
8-Dec-11,3,3,3,2.9,39.93K,0.00%,56.85819257497028
9-Dec-11,3,3,3,2.9,34.39K,0.00%,56.858192574970275
10-Dec-11,3,3,3.1,2.9,74.31K,2.69%,56.858192574970275
11-Dec-11,3,3,3.4,3,108.22K,6.56%,56.858192574970275
12-Dec-11,3,3.3,3.3,3.1,39.90K,-3.38%,56.858192574970275
13-Dec-11,3,3.1,3.3,3.1,32.66K,3.50%,56.858192574970275
14-Dec-11,3,3.3,3.3,3,72.48K,-3.08%,56.858192574970275
15-Dec-11,3,3.2,3.2,3.1,30.09K,0.00%,56.858192574970275
16-Dec-11,3,3.2,3.2,3.2,29.87K,0.00%,56.858192574970275
17-Dec-11,3,3.2,3.2,3.2,16.48K,0.00%,56.858192574970275
18-Dec-11,3,3.2,3.2,3.2,10.79K,0.00%,85.24772583651954
19-Dec-11,4,3.2,3.7,3.2,139.99K,10.34%,85.24772583651954
20-Dec-11,4,3.5,4.5,3.5,186.41K,12.22%,85.24772583651954
21-Dec-11,4,4,4,3.8,48.79K,-1.52%,85.24772583651954
22-Dec-11,4,3.9,4,3.5,57.21K,0.00%,85.24772583651954
23-Dec-11,4,3.9,4,3.8,20.50K,1.54%,85.24772583651954
24-Dec-11,4,4,4,3.9,14.93K,0.00%,85.24772583651954
25-Dec-11,4,3.9,4.4,3.8,80.80K,7.11%,85.24772583651954
26-Dec-11,4,4.2,4.3,3.8,88.83K,-4.74%,85.24772583651954
27-Dec-11,4,4,4.1,4,30.16K,1.24%,85.24772583651954
28-Dec-11,4,4.1,4.3,4,33.84K,2.95%,85.24772583651954
29-Dec-11,4,4.2,4.3,4.1,53.07K,0.00%,85.24772583651954
30-Dec-11,4,4.2,4.3,4.1,41.07K,1.92%,94.32891139524895
31-Dec-11,5,4.3,5,4.2,129.73K,11.06%,94.32891139524895
1-Jan-12,5,4.7,5.5,4.6,108.51K,11.65%,94.32891139524895
2-Jan-12,5,5.3,5.5,4.8,69.15K,-0.95%,94.32891139524895
3-Jan-12,5,5.2,5.3,4.7,125.17K,-6.51%,96.897627959208
4-Jan-12,6,4.9,5.7,4.8,131.17K,14.14%,97.9147806986033
5-Jan-12,7,5.6,7.2,5.6,182.33K,24.78%,97.9147806986033
6-Jan-12,7,6.9,7.2,6.1,218.08K,-3.60%,97.9147806986033
7-Jan-12,7,6.7,7,6.4,48.39K,1.64%,97.9147806986033
8-Jan-12,7,6.8,7.2,6.7,57.19K,4.41%,67.94955057117049
9-Jan-12,6,7.1,7.2,5.8,148.41K,-10.97%,67.94955057117048
10-Jan-12,6,6.3,6.9,6,110.21K,0.00%,76.3452529795947
11-Jan-12,7,6.4,7.1,6.4,99.44K,8.49%,76.3452529795947
12-Jan-12,7,6.9,7,6.3,140.12K,-1.45%,58.55581243669148
13-Jan-12,6,6.8,6.8,6.4,60.23K,-5.74%,66.86948815657594
14-Jan-12,7,6.4,6.9,6.2,141.90K,5.30%,66.86948815657594
15-Jan-12,7,6.8,7.1,6.7,62.23K,3.70%,66.86948815657594
16-Jan-12,7,7,7.2,6.5,122.67K,-4.57%,53.47233186842335
17-Jan-12,6,6.7,6.9,4.6,213.41K,-16.17%,53.47233186842335
18-Jan-12,6,5.6,6.9,5.1,226.68K,5.71%,53.47233186842335
19-Jan-12,6,5.9,6.4,5.9,114.82K,7.43%,62.78470108503461
20-Jan-12,7,6.4,6.6,6.3,66.79K,2.04%,51.65157449199296
21-Jan-12,6,6.5,6.6,6.1,64.76K,-4.78%,51.65157449199295
22-Jan-12,6,6.2,6.4,6.1,44.89K,2.10%,51.65157449199296
23-Jan-12,6,6.3,6.4,6.2,17.69K,0.79%,51.65157449199295
24-Jan-12,6,6.4,6.4,6.2,35.66K,-1.10%,51.65157449199295
25-Jan-12,6,6.3,6.3,5.5,133.12K,-8.59%,41.095914698219396
26-Jan-12,5,5.8,5.9,5.3,123.95K,-7.13%,41.095914698219396
27-Jan-12,5,5.3,5.5,5.1,115.57K,-0.94%,52.381979180312534
28-Jan-12,6,5.3,5.8,5.3,89.71K,6.43%,43.42226308408443
29-Jan-12,5,5.6,5.7,5.3,46.43K,-4.44%,52.22294636705767
30-Jan-12,6,5.4,5.6,5.4,42.30K,2.04%,52.22294636705767
31-Jan-12,6,5.5,5.7,5.4,48.30K,0.00%,52.22294636705767
1-Feb-12,6,5.5,6.2,5.5,115.52K,10.95%,52.22294636705767
2-Feb-12,6,6.1,6.2,5.8,54.55K,0.00%,52.22294636705767
3-Feb-12,6,6.1,6.1,5.7,59.28K,-2.30%,52.22294636705767
4-Feb-12,6,6,6,5.8,20.62K,-1.51%,52.222946367057666
5-Feb-12,6,5.9,5.9,5.4,120.34K,-3.07%,41.40358649938857
6-Feb-12,5,5.7,5.7,5.4,90.26K,-4.22%,52.092395860805695
7-Feb-12,6,5.4,5.8,5.4,72.75K,4.40%,52.092395860805695
8-Feb-12,6,5.7,5.8,5.3,237.94K,-1.58%,52.092395860805695
9-Feb-12,6,5.6,5.9,5.5,89.95K,4.11%,52.092395860805695
10-Feb-12,6,5.8,6,5.8,39.31K,1.37%,52.092395860805695
11-Feb-12,6,5.9,6,5.5,69.71K,-5.25%,52.092395860805695
12-Feb-12,6,5.6,5.8,5.4,81.92K,-1.61%,40.5528694375896
13-Feb-12,5,5.5,5.7,5.2,170.21K,-4.54%,40.5528694375896
14-Feb-12,5,5.3,5.4,4.2,297.57K,-15.21%,32.263909944854774
15-Feb-12,4,4.5,4.9,4.2,161.80K,-2.91%,32.263909944854774
16-Feb-12,4,4.3,4.4,3.9,166.60K,-1.39%,32.263909944854774
17-Feb-12,4,4.3,4.8,4.2,135.95K,3.28%,32.263909944854774
18-Feb-12,4,4.4,4.5,4.1,70.41K,-4.31%,32.263909944854774
19-Feb-12,4,4.2,4.5,4.2,62.37K,4.03%,32.263909944854774
20-Feb-12,4,4.4,4.5,4.3,37.30K,0.00%,32.263909944854774
21-Feb-12,4,4.4,4.4,4.2,51.79K,-2.06%,32.26390994485476
22-Feb-12,4,4.3,4.5,4.3,103.84K,3.51%,50.55004108297369
23-Feb-12,5,4.4,5.2,4.4,164.31K,13.35%,50.55004108297369
